??????????,Are you studying at Chiang Mai University,Have you ever play any online game in the last semester,Gender,Years,Type of game,Hours spend,FPS,Casino,PvE,MOBA, Battle Royale,RTS,MMO, Puzzle,Other,Competitive Action,Role / Progression,Causal / Chance,GType,Game_Type_Merged,ADA1,ADA2,ADA3,ADA4,ADA5,ADA6,ADA7,ADA8,ADA9,ADA10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,GPA,Game Addiction Total,Game Addiction Level,CP Total,CP Level,,,
7/14/2024 11:46:52,??? (Yes),???? (Yes),Male,1,9. ????? (Other),2,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,1,0,0,0,0,1,1,0,0,0,4,4,3,4,4,4,4,5,4,3.41,3,Low,36,High,,,
7/14/2024 11:47:40,??? (Yes),???? (Yes),Female,1,5. Battle Royale Games,2,0,0,0,0,1,0,0,0,0,1,0,0,Battle Royale,Causal / Chance,0,0,0,0,0,1,0,0,0,0,4,3,3,3,4,3,3,3,3,2.77,1,Low,29,Medium,,,
7/14/2024 11:47:44,??? (Yes),???? (Yes),Female,2,"4. Multiplayer Online Battle Arena (MOBA) Games, 8. Puzzle, 9. ????? (Other)",3,0,0,0,1,0,0,0,1,1,1,0,1,MOBA,Competitive Action,1,0,0,0,1,0,0,0,0,0,3,3,2,4,3,3,4,4,4,3.50,2,Low,30,Medium,,,
7/14/2024 11:49:17,??? (Yes),???? (Yes),Female,3,8. Puzzle,1,0,0,0,0,0,0,0,1,0,0,0,1,Puzzle,Causal / Chance,0,0,0,0,0,0,0,0,0,1,5,3,3,5,4,5,4,5,3,2.67,1,Low,37,High,,,
7/14/2024 11:50:59,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE), 6. Real-time Shooter Game (RTS), 7. Massively Multiplayer Online (MMO) Games",3,1,0,1,0,0,1,1,0,0,1,1,0,FPS,Competitive Action,1,0,1,0,1,1,1,0,0,1,4,3,3,5,4,4,4,3,4,3.81,6,Medium,34,High,,,
7/14/2024 11:51:10,??? (Yes),???? (Yes),Male,2,"1. First-Person Shooter Game (FPS), 4. Multiplayer Online Battle Arena (MOBA) Games, 7. Massively Multiplayer Online (MMO) Games",3,1,0,0,1,0,0,1,0,0,1,1,0,FPS,Competitive Action,0,1,0,0,1,0,0,0,0,0,5,3,3,4,3,4,3,4,3,3.12,2,Low,32,Medium,,,
7/14/2024 11:52:06,??? (Yes),???? (Yes),Female,1,"1. First-Person Shooter Game (FPS), 4. Multiplayer Online Battle Arena (MOBA) Games, 9. ????? (Other)",2,1,0,0,1,0,0,0,0,1,1,0,1,FPS,Competitive Action,0,0,0,0,1,1,0,0,0,1,5,5,2,5,4,4,5,4,3,3.52,3,Low,37,High,,,
7/14/2024 11:52:52,??? (Yes),???? (Yes),Female,1,"1. First-Person Shooter Game (FPS), 4. Multiplayer Online Battle Arena (MOBA) Games",3,1,0,0,1,0,0,0,0,0,1,0,0,FPS,Competitive Action,0,0,1,0,1,1,1,0,0,0,5,3,2,4,4,5,4,4,4,3.60,4,Medium,35,High,,,
7/14/2024 11:54:01,??? (Yes),???? (Yes),Female,4,8. Puzzle,1,0,0,0,0,0,0,0,1,0,0,0,1,Puzzle,Causal / Chance,0,0,1,0,0,0,0,0,0,0,4,5,4,5,5,3,5,5,5,2.99,1,Low,41,High,,,
7/14/2024 11:55:58,??? (Yes),???? (Yes),Male,1,"4. Multiplayer Online Battle Arena (MOBA) Games, 8. Puzzle, 9. ????? (Other)",5,0,0,0,1,0,0,0,1,1,1,0,1,MOBA,Competitive Action,1,0,0,1,1,1,0,0,0,1,4,3,3,4,3,1,3,3,3,3.33,5,Medium,27,Medium,,,
7/14/2024 11:56:20,??? (Yes),???? (Yes),LGBTQ+,1,1. First-Person Shooter Game (FPS),1,1,0,0,0,0,0,0,0,0,1,0,0,FPS,Competitive Action,1,1,1,1,0,1,1,1,1,1,5,5,5,5,5,5,5,5,5,3.90,9,High,45,High,,,
7/14/2024 12:01:35,??? (Yes),???? (Yes),Male,1,1. First-Person Shooter Game (FPS),4,1,0,0,0,0,0,0,0,0,1,0,0,FPS,Competitive Action,0,0,1,0,0,1,0,0,1,0,4,3,3,4,3,5,3,3,3,2.38,3,Low,31,Medium,,,
7/14/2024 12:02:29,??? (Yes),???? (Yes),Female,1,"4. Multiplayer Online Battle Arena (MOBA) Games, 8. Puzzle",3,0,0,0,1,0,0,0,1,0,1,0,1,MOBA,Competitive Action,0,0,1,0,0,1,0,0,0,0,5,4,4,5,4,3,4,5,4,3.81,2,Low,38,High,,,
7/14/2024 12:04:09,??? (Yes),???? (Yes),Female,1,3. Player versus Environment (PvE),2,0,0,1,0,0,0,0,0,0,0,1,0,PvE,Role / Progression,1,0,0,0,0,1,0,0,0,0,5,5,5,5,3,2,5,5,4,3.75,2,Low,39,High,,,
7/14/2024 12:04:18,??? (Yes),???? (Yes),LGBTQ+,1,4. Multiplayer Online Battle Arena (MOBA) Games,3,0,0,0,1,0,0,0,0,0,1,0,0,MOBA,Competitive Action,1,0,0,0,1,1,1,0,0,0,5,3,3,5,3,3,5,4,3,3.76,4,Medium,34,High,,,
7/14/2024 12:04:33,??? (Yes),???? (Yes),Female,1,3. Player versus Environment (PvE),3,0,0,1,0,0,0,0,0,0,0,1,0,PvE,Role / Progression,0,0,0,0,1,1,0,0,0,0,4,4,3,5,3,4,4,4,3,3.71,2,Low,34,High,,,
7/14/2024 12:04:44,??? (Yes),???? (Yes),Female,3,1. First-Person Shooter Game (FPS),1,1,0,0,0,0,0,0,0,0,1,0,0,FPS,Competitive Action,0,0,0,0,0,1,0,0,0,0,2,3,4,3,3,4,4,4,4,2.50,1,Low,31,Medium,,,
7/14/2024 12:05:45,??? (Yes),???? (Yes),Female,1,9. ????? (Other),3,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,0,0,0,0,1,1,0,0,0,0,5,4,3,4,4,3,4,4,4,3.87,2,Low,35,High,,,
7/14/2024 12:08:14,??? (Yes),???? (Yes),LGBTQ+,3,"5. Battle Royale Games, 8. Puzzle",2,0,0,0,0,1,0,0,1,0,1,0,1,Battle Royale,Causal / Chance,0,0,0,0,0,1,0,0,0,0,5,4,4,4,4,5,5,4,4,3.15,1,Low,39,High,,,
